,City,Country,Latitude,Longitude,Date - Time,Max Temp,Humidity,Cloudiness,Wind Speed
27,Kargil,PK,34.56,76.13,2019-10-01 14:20:17,43.42,45,43,9.4
28,Balad,ID,-6.76,108.42,2019-10-01 14:20:19,63.94,85,85,3.89
29,Uyuni,BO,-20.46,-66.82,2019-10-01 14:20:22,54.94,17,2,10.71
30,Oleksandrivka,UA,48.97,32.24,2019-10-01 14:20:24,59.08,55,99,8.05
31,Novoagansk,RU,61.94,76.66,2019-10-01 14:20:25,38.92,89,100,12.93
32,Paamiut,GL,61.99,-49.67,2019-10-01 14:20:27,42.34,59,54,5.7
33,Carnarvon,ZA,-30.97,22.13,2019-10-01 14:16:51,66.28,13,0,4.56
34,Muisne,EC,0.61,-80.02,2019-10-01 14:20:29,78.8,78,90,5.82
35,Karoi,ZW,-16.82,29.68,2019-10-01 14:20:30,89.86,10,0,9.13
36,Dwarka,IN,28.58,77.04,2019-10-01 14:20:31,84.2,78,75,6.93
37,Naze,NG,5.43,7.07,2019-10-01 14:20:33,84.2,74,75,4.7
38,Cherskiy,RU,68.75,161.3,2019-10-01 14:17:35,21.46,92,100,6.35
39,Constitucion,MX,23.99,-104.67,2019-10-01 14:17:20,60.01,100,75,5.82
40,Payo,ID,-3.75,103.64,2019-10-01 14:20:36,69.7,71,79,3.22
41,Shirokaya Rechka,RU,56.8,60.49,2019-10-01 14:20:39,50.0,61,0,8.95
42,Dublin,IE,53.35,-6.26,2019-10-01 14:20:40,53.01,100,75,21.92
43,Ankazobe,MG,-18.32,47.12,2019-10-01 14:20:41,66.2,82,75,12.75
44,Jining,CN,35.41,116.58,2019-10-01 14:20:44,66.46,74,27,5.14
45,Kapaa,US,22.08,-159.32,2019-10-01 14:16:31,80.6,78,40,16.11
46,Thompson,CA,55.74,-97.86,2019-10-01 14:17:34,28.4,79,40,2.24
47,Codrington,AU,-28.95,153.24,2019-10-01 14:20:49,64.4,82,30,3.27
48,Chokurdakh,RU,70.62,147.9,2019-10-01 14:17:13,21.64,81,0,15.79
49,Khatanga,RU,71.98,102.47,2019-10-01 14:16:55,20.74,89,6,1.5
50,Saint-Philippe,CA,45.36,-73.48,2019-10-01 14:17:11,60.8,100,90,5.82
51,Dudinka,RU,69.41,86.18,2019-10-01 14:20:55,28.4,92,0,8.95
52,Cherlak,RU,54.15,74.8,2019-10-01 14:20:56,41.98,67,14,7.07
53,Uyemskiy,RU,64.47,40.85,2019-10-01 14:20:57,50.0,93,90,11.18
54,Ribeira Grande,PT,38.52,-28.7,2019-10-01 14:17:08,71.6,94,75,13.87
55,Chuy,UY,-33.69,-53.46,2019-10-01 14:16:39,66.64,91,100,10.8
56,Vila Velha,BR,-3.71,-38.6,2019-10-01 14:17:07,86.0,58,75,19.46
57,Patitirion,GR,39.15,23.87,2019-10-01 14:21:02,80.6,69,0,8.05
58,Kungurtug,RU,50.6,97.53,2019-10-01 14:21:03,27.04,61,100,1.81
59,Barrow,AR,-38.31,-60.23,2019-10-01 14:16:36,61.24,38,50,15.95
60,Kaduy,RU,59.2,37.15,2019-10-01 14:21:05,51.8,93,90,6.71
61,Rome,IT,41.89,12.48,2019-10-01 14:20:16,80.6,54,40,10.29
62,Mar del Plata,AR,-46.43,-67.52,2019-10-01 14:17:16,44.68,28,0,12.55
63,Harper,US,30.3,-99.24,2019-10-01 14:21:09,77.0,88,90,12.75
64,Kuito,AO,-12.38,16.94,2019-10-01 14:21:10,87.8,58,0,9.17
65,Mataura,NZ,-46.19,168.86,2019-10-01 14:21:12,46.0,76,84,18.01
66,Tyrma,RU,50.04,132.17,2019-10-01 14:21:15,49.9,97,8,2.8
67,Coxim,BR,-18.5,-54.75,2019-10-01 14:21:16,101.2,27,31,9.01
68,Cape Town,ZA,-33.93,18.42,2019-10-01 14:13:05,73.0,46,0,14.99
69,Peniche,PT,39.36,-9.38,2019-10-01 14:21:19,80.6,64,20,11.41
70,Northam,AU,-31.65,116.67,2019-10-01 14:21:20,57.2,71,0,3.36
71,Cockburn Town,TC,21.46,-71.14,2019-10-01 14:14:08,82.4,118,40,3.74
72,Puerto Ayora,EC,-0.74,-90.35,2019-10-01 14:16:35,69.8,83,90,11.41
73,Svolvaer,NO,68.23,14.57,2019-10-01 14:19:50,51.8,53,0,25.28
74,Juticalpa,HN,14.67,-86.22,2019-10-01 14:21:25,76.18,77,100,1.52
75,Yellowknife,CA,62.45,-114.38,2019-10-01 14:17:07,32.0,86,75,5.82
76,Ponta do Sol,BR,-20.63,-46.0,2019-10-01 14:17:13,77.08,57,51,7.83
77,Nikolskoye,RU,59.7,30.79,2019-10-01 14:16:37,51.8,53,40,20.13
78,Bluff,AU,-23.58,149.07,2019-10-01 14:16:33,63.22,80,96,24.07
79,Lagoa,PT,37.14,-8.45,2019-10-01 14:21:31,84.99,64,0,18.34
80,Hovd,NO,63.83,10.7,2019-10-01 14:21:33,48.99,86,90,1.12
81,Bredasdorp,ZA,-34.53,20.04,2019-10-01 14:16:42,66.2,52,21,16.11
82,Wajima,JP,37.4,136.9,2019-10-01 14:21:35,74.74,71,38,17.05
83,Isangel,VU,-19.55,169.27,2019-10-01 14:17:28,73.3,80,100,23.4
84,Santa Maria,BR,-16.02,-48.01,2019-10-01 14:21:38,86.0,42,40,13.87
85,Atuona,PF,-9.8,-139.03,2019-10-01 14:21:39,78.7,78,19,14.18
86,Boueni,YT,-12.9,45.08,2019-10-01 14:21:40,82.4,78,40,9.17
87,Rognan,NO,67.1,15.4,2019-10-01 14:21:41,50.0,66,75,10.29
88,Evensk,RU,61.92,159.24,2019-10-01 14:17:21,27.94,62,42,8.68
89,Bethel,US,60.79,-161.76,2019-10-01 14:17:55,41.0,100,90,10.29
90,Carutapera,BR,-1.2,-46.02,2019-10-01 14:17:31,83.74,64,100,10.94
91,Walvis Bay,NA,-22.95,14.51,2019-10-01 14:21:46,87.8,16,0,17.22
92,Tiarei,PF,-17.53,-149.33,2019-10-01 14:16:50,73.4,78,0,2.24
93,Bara,NG,10.41,10.6,2019-10-01 14:21:48,88.42,53,100,8.43
94,Yenagoa,NG,4.92,6.26,2019-10-01 14:16:59,77.44,90,100,4.7
95,Sistranda,NO,63.73,8.83,2019-10-01 14:21:50,48.99,93,75,11.41
96,Padang,ID,-0.92,100.36,2019-10-01 14:17:45,79.06,82,43,11.36
97,Vao,EE,59.1,26.19,2019-10-01 14:21:53,44.32,75,76,13.53
98,Georgetown,GY,6.8,-58.16,2019-10-01 14:13:19,86.0,79,40,16.11
99,Kruisfontein,ZA,-34.0,24.73,2019-10-01 14:21:55,60.7,66,0,7.09
100,Saldanha,PT,41.42,-6.55,2019-10-01 14:17:32,74.2,38,0,14.81
101,Kalino,BG,43.47,26.98,2019-10-01 14:21:57,72.0,51,0,8.99
102,Pochutla,MX,15.74,-96.47,2019-10-01 14:21:59,80.01,69,75,2.13
103,Klaksvik,FO,62.23,-6.59,2019-10-01 14:22:00,42.8,75,40,21.92
104,Chongwe,ZM,-15.33,28.68,2019-10-01 14:22:01,90.58,12,32,10.45
105,Arraial do Cabo,BR,-22.97,-42.02,2019-10-01 14:17:00,75.2,57,0,21.92
106,Avarua,CK,-21.21,-159.78,2019-10-01 14:16:48,69.8,68,31,5.82
107,Ustyuzhna,RU,58.84,36.43,2019-10-01 14:22:07,45.04,80,50,11.14
108,Neryungri,RU,56.66,124.71,2019-10-01 14:22:08,19.48,93,66,3.83
109,Qaanaaq,GL,77.48,-69.36,2019-10-01 14:17:00,33.88,97,100,9.57
110,Togitsu,JP,32.83,129.83,2019-10-01 14:22:10,77.0,94,75,3.36
111,Castro,CL,-42.48,-73.76,2019-10-01 14:17:02,41.0,86,20,3.36
112,Samarai,PG,-10.62,150.67,2019-10-01 14:17:02,73.48,96,100,5.91
113,Mochudi,BW,-24.38,26.15,2019-10-01 14:22:14,80.6,10,20,9.17
114,Orlik,PL,53.95,17.74,2019-10-01 14:22:15,53.01,93,75,3.36
115,Clyde River,CA,70.47,-68.59,2019-10-01 14:16:46,33.8,100,90,3.36
116,Nouakchott,MR,18.08,-15.98,2019-10-01 14:16:19,89.6,55,0,18.34
117,Havoysund,NO,71.0,24.66,2019-10-01 14:22:19,39.2,67,40,29.97
118,Anadyr,RU,64.73,177.51,2019-10-01 14:17:54,39.2,93,40,11.18
119,Tasiilaq,GL,65.61,-37.64,2019-10-01 14:16:39,35.6,74,20,20.8
120,Glendive,US,47.11,-104.71,2019-10-01 14:20:27,36.0,86,90,6.93
121,Todos Santos,MX,23.45,-110.23,2019-10-01 14:22:24,75.0,83,75,7.16
122,Effingham,US,39.12,-88.54,2019-10-01 14:22:26,81.0,61,1,5.82
123,Veraval,FR,49.65,0.71,2019-10-01 14:22:27,66.99,72,67,14.99
124,Huilong,CN,31.15,106.5,2019-10-01 14:22:28,70.96,73,99,1.32
125,Abha,SA,18.22,42.5,2019-10-01 14:22:30,71.6,77,75,11.41
126,Road Town,VG,18.42,-64.62,2019-10-01 14:17:18,87.01,66,40,6.93
127,Sarai,IN,25.78,85.28,2019-10-01 14:22:32,78.8,94,75,4.43
128,Acajutla,SV,13.59,-89.83,2019-10-01 14:22:33,75.2,100,0,4.85
129,Hobyo,SO,5.35,48.53,2019-10-01 14:22:34,78.16,78,0,9.98
130,Torbay,CA,47.66,-52.73,2019-10-01 14:14:18,46.4,70,75,20.8
131,Alofi,NU,-19.06,-169.92,2019-10-01 14:22:37,73.4,88,100,5.82
132,Tahe,CN,52.34,124.71,2019-10-01 14:22:38,43.6,96,100,3.31
133,Omboue,GA,-1.57,9.26,2019-10-01 14:22:39,76.9,79,92,12.19
134,Yanaul,RU,56.27,54.93,2019-10-01 14:22:40,51.34,71,100,12.28
135,Mahibadhoo,MV,3.78,72.97,2019-10-01 14:22:42,83.02,74,100,16.75
136,Nizhnevartovsk,RU,60.93,76.58,2019-10-01 14:22:43,42.8,75,90,11.18
137,Manaus,BR,-3.13,-59.98,2019-10-01 14:22:16,89.6,59,0,6.93
138,Bismarck,US,46.81,-100.78,2019-10-01 14:18:36,41.0,75,90,10.29
139,Mecca,SA,21.43,39.83,2019-10-01 14:19:28,89.68,59,69,8.37
140,Victoria,BN,5.28,115.24,2019-10-01 14:16:52,77.0,94,75,3.36
141,Senanga,ZM,-16.1,23.3,2019-10-01 14:22:49,93.28,8,99,7.4
142,Zelenoborsk,RU,61.47,64.05,2019-10-01 14:22:50,45.94,89,100,11.32
143,Tortoli,IT,39.93,9.66,2019-10-01 14:22:51,84.2,66,20,4.7
144,Namatanai,PG,-3.66,152.44,2019-10-01 14:22:53,78.16,85,98,8.37
145,Nara,JP,34.68,135.8,2019-10-01 14:22:54,79.0,94,75,5.82
146,Antalaha,MG,-14.9,50.28,2019-10-01 14:22:55,67.36,97,55,2.08
147,Henties Bay,NA,-22.12,14.28,2019-10-01 14:22:56,63.0,87,6,5.99
148,Tigil,RU,57.8,158.67,2019-10-01 14:22:58,33.16,86,1,10.02
149,Nijar,ES,36.97,-2.21,2019-10-01 14:22:59,78.8,74,20,9.17
150,Asosa,ET,10.07,34.53,2019-10-01 14:23:02,69.7,84,100,3.24
151,Husavik,CA,50.56,-96.99,2019-10-01 14:16:34,35.01,99,100,5.01
152,San Roque,CO,6.49,-75.02,2019-10-01 14:23:05,69.8,87,75,6.93
153,Saskylakh,RU,71.97,114.09,2019-10-01 14:16:49,25.78,95,95,13.58
154,San Jose,HN,14.25,-87.96,2019-10-01 14:21:25,77.0,83,40,3.36
155,Nador,MA,35.17,-2.93,2019-10-01 14:23:08,87.8,15,0,19.46
156,Longyearbyen,NO,78.22,15.63,2019-10-01 14:16:41,24.8,73,20,2.35
157,Turka,RU,52.95,108.22,2019-10-01 14:23:11,43.42,59,44,15.7
158,Te Anau,NZ,-45.41,167.72,2019-10-01 14:17:42,43.24,79,71,13.29
159,Marsh Harbour,BS,26.54,-77.06,2019-10-01 14:18:01,80.5,80,20,23.58
160,Senneterre,CA,48.39,-77.24,2019-10-01 14:23:14,50.0,93,90,14.99
161,Lorengau,PG,-2.02,147.27,2019-10-01 14:17:08,79.24,78,100,3.83
162,Burnie,AU,-41.05,145.91,2019-10-01 14:23:16,45.0,86,100,1.99
163,Grand Baie,MU,-20.02,57.58,2019-10-01 14:23:18,75.2,73,40,8.05
164,Riyadh,SA,24.63,46.72,2019-10-01 14:23:20,100.4,21,40,2.24
165,Bestobe,KZ,52.5,73.1,2019-10-01 14:23:22,43.24,56,0,6.76
166,Pevek,RU,69.7,170.27,2019-10-01 14:16:53,31.18,96,100,16.84
167,Karratha,AU,-20.74,116.85,2019-10-01 14:23:27,75.1,40,0,12.62
168,Nanortalik,GL,60.14,-45.24,2019-10-01 14:16:43,46.66,58,100,5.03
169,Richards Bay,ZA,-28.77,32.06,2019-10-01 14:16:47,67.0,67,31,18.1
170,Begunitsy,RU,59.58,29.3,2019-10-01 14:23:30,51.8,53,40,15.66
171,Butaritari,KI,3.07,172.79,2019-10-01 14:15:08,84.46,63,16,7.92
172,Broome,GB,52.47,1.45,2019-10-01 14:23:32,66.0,84,40,10.29
173,Bathsheba,BB,13.22,-59.52,2019-10-01 14:17:25,86.0,66,75,16.11
174,Mont-Dore,NC,-22.23,166.53,2019-10-01 14:23:35,66.2,77,0,2.24
175,Maniitsoq,GL,65.42,-52.9,2019-10-01 14:16:40,39.46,74,100,0.81
176,Tuatapere,NZ,-46.13,167.69,2019-10-01 14:16:33,46.99,81,91,20.0
177,Lompoc,US,34.64,-120.46,2019-10-01 14:15:31,55.0,93,1,12.28
178,Upata,VE,8.02,-62.41,2019-10-01 14:23:40,83.92,65,60,8.19
179,Vagur,FO,61.47,-6.81,2019-10-01 14:23:43,45.58,68,15,22.19
180,Palembang,ID,-2.99,104.76,2019-10-01 14:23:44,76.54,67,95,4.76
181,Norman Wells,CA,65.28,-126.83,2019-10-01 14:17:09,44.6,75,75,2.24
182,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,2019-10-01 14:23:46,44.6,73,67,15.66
183,Belyy Yar,RU,53.6,91.39,2019-10-01 14:23:47,42.8,56,0,2.24
184,Cidreira,BR,-30.17,-50.22,2019-10-01 14:16:56,85.18,43,66,10.96
185,Norwalk,US,33.91,-118.08,2019-10-01 14:20:31,60.8,62,75,4.7
186,Sirjan,IR,29.44,55.67,2019-10-01 14:23:51,73.66,15,1,6.87
187,Mae Sai,MM,20.44,99.89,2019-10-01 14:23:54,78.8,88,0,4.7
188,Butler,US,41.43,-84.87,2019-10-01 14:19:26,79.0,65,1,9.17
189,Manitouwadge,CA,49.12,-85.84,2019-10-01 14:19:23,48.2,93,90,9.17
190,Shar,NG,7.3,8.73,2019-10-01 14:23:58,77.44,85,100,3.83
191,Aklavik,CA,68.22,-135.01,2019-10-01 14:17:25,33.8,80,20,1.03
192,College,US,64.86,-147.8,2019-10-01 14:24:01,37.99,100,90,3.53
193,Turuvekere,IN,13.16,76.67,2019-10-01 14:24:02,72.22,84,67,7.4
194,Nizwa,OM,22.93,57.53,2019-10-01 14:22:56,83.02,38,100,8.61
195,New Norfolk,AU,-42.78,147.06,2019-10-01 14:16:29,45.0,93,0,1.81
196,Le Port,FR,42.87,1.37,2019-10-01 14:24:06,77.0,66,79,8.01
197,Chicama,PE,-7.84,-79.15,2019-10-01 14:24:07,60.8,93,90,10.29
198,Faanui,PF,-16.48,-151.75,2019-10-01 14:16:37,76.0,80,100,20.71
199,Saint George,GR,39.45,22.34,2019-10-01 14:15:04,87.8,33,20,11.41
200,Gravdal,NO,59.79,5.78,2019-10-01 14:24:11,46.99,100,75,4.7
201,Pierre,US,44.37,-100.35,2019-10-01 14:22:10,46.0,75,90,17.22
202,Quepos,CR,9.43,-84.16,2019-10-01 14:24:13,75.0,73,40,3.36
203,Timbuktu,ML,16.77,-3.01,2019-10-01 14:24:14,104.98,15,100,16.31
204,Sabang,PH,13.8,121.11,2019-10-01 14:24:15,80.01,90,100,0.6
205,Yulara,AU,-25.24,130.99,2019-10-01 14:14:01,77.0,13,69,4.7
206,Villarrobledo,ES,39.27,-2.6,2019-10-01 14:24:18,81.0,26,53,8.01
207,Talnakh,RU,69.49,88.39,2019-10-01 14:16:45,28.4,92,0,8.95
208,West Wendover,US,40.74,-114.07,2019-10-01 14:24:20,37.4,86,1,5.79
209,Kavaratti,IN,10.57,72.64,2019-10-01 14:17:37,82.12,67,100,3.38
210,Kaitangata,NZ,-46.28,169.85,2019-10-01 14:17:01,46.0,75,72,14.0
211,Baherden,TM,38.44,57.43,2019-10-01 14:24:24,59.62,37,0,10.92
212,Verkhnetulomskiy,RU,68.61,31.8,2019-10-01 14:24:25,39.2,69,75,13.42
213,East London,ZA,-33.02,27.91,2019-10-01 14:24:27,66.2,72,40,10.29
214,Faya,SA,18.39,42.45,2019-10-01 14:17:39,77.0,77,75,16.11
215,Dunedin,NZ,-45.87,170.5,2019-10-01 14:24:29,53.01,50,93,11.01
216,Sao Joao da Barra,BR,-21.64,-41.05,2019-10-01 14:17:18,77.0,57,75,11.41
217,Marquette,US,46.54,-87.4,2019-10-01 14:24:31,61.0,82,75,11.41
218,Coquimbo,CL,-29.95,-71.34,2019-10-01 14:15:13,53.6,71,75,10.29
219,Sangar,RU,63.92,127.47,2019-10-01 14:24:34,25.42,74,63,13.69
220,Bonthe,SL,7.53,-12.5,2019-10-01 14:24:35,83.02,74,72,11.95
221,San Cristobal,HN,14.68,-86.92,2019-10-01 14:17:04,71.68,85,90,2.08
222,Dolores,UY,-33.53,-58.22,2019-10-01 14:24:37,59.0,97,100,17.0
223,Alice Springs,AU,-23.7,133.88,2019-10-01 14:16:11,80.6,21,0,12.75
224,Hoi An,VN,15.88,108.33,2019-10-01 14:24:39,82.4,83,40,2.24
225,Estelle,FR,43.97,3.47,2019-10-01 14:24:41,78.01,83,40,10.29
226,Whitehorse,CA,60.72,-135.06,2019-10-01 14:24:42,46.4,87,75,17.22
227,Geraldton,CA,49.72,-86.95,2019-10-01 14:17:24,42.8,93,90,5.82
228,Pangnirtung,CA,66.15,-65.72,2019-10-01 14:16:56,37.4,100,75,3.36
229,Kavieng,PG,-2.57,150.8,2019-10-01 14:16:42,83.2,67,10,2.42
230,Scottsbluff,US,41.87,-103.67,2019-10-01 14:20:42,43.0,100,90,10.29
231,Beringovskiy,RU,63.05,179.32,2019-10-01 14:24:48,36.04,90,0,6.4
232,Yangjiang,CN,21.85,111.96,2019-10-01 14:24:50,74.92,71,0,5.14
233,Mount Isa,AU,-20.73,139.49,2019-10-01 14:24:51,75.2,14,0,6.93
234,Port Hardy,CA,50.7,-127.42,2019-10-01 14:17:19,37.4,93,75,6.93
235,Calhoun,US,34.5,-84.95,2019-10-01 14:24:13,82.99,65,1,3.36
236,Port-Cartier,CA,50.03,-66.88,2019-10-01 14:24:54,42.01,52,90,5.82
237,Norrtalje,SE,59.76,18.7,2019-10-01 14:24:56,52.0,44,20,21.92
238,Pisco,PE,-13.71,-76.2,2019-10-01 14:16:58,71.6,30,90,3.36
239,Millinocket,US,45.66,-68.71,2019-10-01 14:24:58,48.2,87,90,3.36
240,Meadow Lake,CA,54.13,-108.44,2019-10-01 14:24:59,28.4,92,20,2.24
241,Nemuro,JP,43.32,145.57,2019-10-01 14:25:00,61.42,88,49,7.81
242,Cairns,AU,-16.92,145.77,2019-10-01 14:23:59,73.4,78,40,8.05
243,Labuhan,ID,-2.54,115.51,2019-10-01 14:25:04,75.46,85,91,1.3
244,Port Hedland,AU,-20.31,118.58,2019-10-01 14:21:42,78.8,50,0,12.75
245,Paris,FR,48.86,2.35,2019-10-01 14:16:45,71.6,53,20,17.22
246,Merrill,US,42.03,-121.6,2019-10-01 14:25:07,30.99,86,1,1.92
247,Kaputa,ZM,-8.47,29.66,2019-10-01 14:25:09,80.68,50,85,5.57
248,Pombas,BR,-15.9,-54.74,2019-10-01 14:25:10,97.96,28,79,10.22
249,Atar,MR,20.52,-13.05,2019-10-01 14:25:11,111.1,6,12,19.82
250,Tilichiki,RU,60.47,166.1,2019-10-01 14:25:12,34.42,80,100,15.64
251,Razole,IN,16.48,81.84,2019-10-01 14:25:13,79.24,86,56,4.5
252,Yarovoye,RU,52.92,78.56,2019-10-01 14:25:15,42.16,57,78,2.37
253,Svetlogorsk,RU,53.14,59.15,2019-10-01 14:16:43,48.2,65,40,8.95
254,Ternate,PH,14.29,120.72,2019-10-01 14:25:17,84.2,79,20,3.36
255,Republic,US,48.65,-118.74,2019-10-01 14:25:18,39.2,80,90,3.36
256,Starokostyantyniv,UA,49.76,27.2,2019-10-01 14:25:20,58.9,65,0,5.77
257,Zaysan,KZ,47.47,84.87,2019-10-01 14:25:21,34.42,47,0,5.68
258,Mokhsogollokh,RU,61.4,128.95,2019-10-01 14:25:22,26.14,76,52,10.0
259,Rebrikha,RU,53.08,82.34,2019-10-01 14:25:23,36.22,53,0,3.06
260,Morbach,DE,49.52,10.62,2019-10-01 14:25:24,68.0,77,75,16.11
261,Carauari,BR,-4.88,-66.9,2019-10-01 14:25:26,92.02,48,94,3.42
262,Port Blair,IN,11.67,92.75,2019-10-01 14:16:52,82.48,78,73,8.28
263,Hof,DE,50.32,11.92,2019-10-01 14:25:28,64.99,87,90,11.41
264,Dimbokro,CI,6.65,-4.7,2019-10-01 14:25:29,83.2,80,68,5.77
265,Hithadhoo,MV,-0.6,73.08,2019-10-01 14:16:48,83.38,79,100,18.81
266,Laguna,BZ,16.17,-88.94,2019-10-01 14:17:46,100.4,84,75,0.89
267,Sinnamary,GF,5.38,-52.96,2019-10-01 14:25:33,82.3,76,4,10.92
268,Puerto Cabello,VE,10.47,-68.01,2019-10-01 14:25:34,91.84,47,66,3.74
269,Ilulissat,GL,69.22,-51.1,2019-10-01 14:17:06,39.2,48,75,2.24
270,Cayenne,GF,4.94,-52.33,2019-10-01 14:25:36,89.6,59,4,9.17
271,Tuktoyaktuk,CA,69.44,-133.03,2019-10-01 14:16:42,35.6,100,40,6.93
272,Airai,TL,-8.93,125.41,2019-10-01 14:25:41,70.24,84,0,5.06
273,La Tuque,CA,47.44,-72.79,2019-10-01 14:22:05,46.48,76,93,8.5
274,Sohag,EG,26.55,31.7,2019-10-01 14:25:43,93.2,24,0,10.29
275,Alta Floresta,BR,-9.87,-56.08,2019-10-01 14:25:44,93.2,52,20,4.7
276,Luanda,AO,-8.83,13.24,2019-10-01 14:24:39,82.4,69,40,9.17
277,Kondinskoye,RU,59.65,67.41,2019-10-01 14:22:02,44.86,87,100,14.36
278,Salaga,GH,8.55,-0.52,2019-10-01 14:25:48,80.14,86,100,4.41
279,San-Pedro,CI,4.75,-6.64,2019-10-01 14:25:49,80.14,87,97,5.7
280,Bilibino,RU,68.06,166.44,2019-10-01 14:25:50,18.94,96,100,2.33
281,Kidal,ML,18.44,1.41,2019-10-01 14:25:51,105.88,8,97,14.47
282,Puerto Leguizamo,CO,-0.19,-74.78,2019-10-01 14:25:52,89.68,51,8,5.53
283,Solwezi,ZM,-12.18,26.4,2019-10-01 14:25:54,86.08,24,97,4.5
284,Vetluzhskiy,RU,58.39,45.47,2019-10-01 14:25:55,54.94,90,100,13.98
285,Lethem,GY,3.38,-59.8,2019-10-01 14:25:56,90.58,50,80,11.59
286,Medina del Campo,ES,41.31,-4.92,2019-10-01 14:25:57,75.0,46,40,13.87
287,Prince Rupert,CA,54.32,-130.32,2019-10-01 14:22:18,51.8,57,90,6.93
288,Mangrol,IN,25.33,76.51,2019-10-01 14:26:00,73.84,83,93,5.97
289,Hohhot,CN,40.81,111.65,2019-10-01 14:26:02,64.4,55,0,2.24
290,Valleyview,CA,55.07,-117.28,2019-10-01 14:26:03,32.44,84,48,4.72
291,Kollam,IN,8.88,76.6,2019-10-01 14:26:00,82.4,83,40,3.36
292,Prado,CO,3.75,-74.93,2019-10-01 14:26:06,81.22,69,96,4.59
293,Aksu,KZ,52.04,76.93,2019-10-01 14:26:07,42.8,75,40,4.47
294,Mayo,CA,63.59,-135.9,2019-10-01 14:17:32,41.0,86,90,11.41
295,Myitkyina,MM,25.38,97.4,2019-10-01 14:26:09,69.52,96,62,2.51
296,Sisimiut,GL,66.94,-53.67,2019-10-01 14:26:10,40.18,78,100,8.32
297,Hasaki,JP,35.73,140.83,2019-10-01 14:17:34,66.2,93,40,2.24
298,Aykhal,RU,65.95,111.51,2019-10-01 14:16:48,23.0,100,75,2.24
299,Karaton,ID,-6.34,106.1,2019-10-01 14:26:14,82.4,69,20,2.24
300,Moose Factory,CA,51.26,-80.61,2019-10-01 14:26:15,42.8,93,90,9.17
301,Vagamo,NO,61.88,9.1,2019-10-01 14:26:16,33.34,90,96,11.25
302,Polis,CY,35.04,32.42,2019-10-01 14:26:17,80.6,69,20,16.11
303,Manokwari,ID,-0.87,134.08,2019-10-01 14:26:19,71.86,84,0,5.68
304,Heihe,RU,50.24,127.51,2019-10-01 14:26:20,50.0,100,40,4.47
305,Quelimane,MZ,-17.88,36.89,2019-10-01 14:17:43,84.2,70,40,13.87
306,Leningradskiy,RU,69.38,178.42,2019-10-01 14:17:29,35.5,89,39,4.83
307,Seoul,KR,37.57,126.98,2019-10-01 14:26:23,73.4,113,75,1.12
308,Vila Franca do Campo,PT,37.72,-25.43,2019-10-01 14:17:20,80.01,83,75,9.17
309,Chichi,NG,7.27,8.93,2019-10-01 14:26:26,77.44,85,100,3.83
